City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
419,Praia Da Vitoria,PT,38.73,-27.07,68.0,88,20,9.89,few clouds,0,0
420,Nishihara,JP,26.18,127.76,87.8,74,75,10.29,broken clouds,0,0
421,Kaduqli,SD,11.02,29.72,71.04,87,100,1.52,overcast clouds,0,0
422,Robertson,US,36.52,-86.87,79.0,62,0,4.83,clear sky,0,0
423,Ciudad Del Maiz,MX,22.4,-99.6,87.01,29,0,14.0,clear sky,0,0
424,Hay River,CA,60.82,-115.8,66.2,63,75,3.36,broken clouds,0,0
425,Ewo,CG,-0.87,14.82,74.35,82,100,5.46,light rain,0,0
426,Sabzevar,IR,36.21,57.68,76.62,25,100,4.63,overcast clouds,0,0
427,Kaura Namoda,NG,12.59,6.58,73.89,78,19,8.1,few clouds,0,0
428,Tubuala,PA,9.52,-79.03,82.4,78,40,6.93,scattered clouds,0,0
429,Baruun-Urt,MN,46.68,113.28,70.97,65,100,4.9,overcast clouds,0,0
430,Terre Haute,US,39.47,-87.41,80.6,69,1,10.29,clear sky,0,0
431,Vallenar,CL,-28.57,-70.76,64.85,46,0,2.35,clear sky,0,0
432,Comodoro Rivadavia,AR,-45.87,-67.5,41.0,60,43,16.11,scattered clouds,0,0
433,Lavrentiya,RU,65.58,-171.0,46.13,75,4,7.11,clear sky,0,0
434,Mauganj,IN,24.68,81.88,83.44,73,32,11.36,scattered clouds,0,0
435,Kolpashevo,RU,58.31,82.91,59.14,94,98,4.09,overcast clouds,0,0
436,Pittsburg,US,38.03,-121.88,105.01,14,1,12.75,clear sky,0,0
437,Maniitsoq,GL,65.42,-52.9,45.48,80,100,14.16,overcast clouds,0,0
438,Dingle,PH,11.0,122.67,84.13,75,100,3.36,light rain,0,0
439,Belton,US,38.81,-94.53,84.2,48,20,9.17,few clouds,0,0
440,Sinazongwe,ZM,-17.26,27.46,61.83,35,0,1.59,clear sky,0,0
441,Sampit,ID,-2.53,112.95,76.84,92,96,2.48,overcast clouds,0,0
442,Santa Maria,BR,-29.68,-53.81,53.6,100,21,2.24,few clouds,0,0
443,Pedana,IN,16.27,81.17,84.74,76,100,5.77,light rain,0,0
444,Kargasok,RU,59.06,80.86,57.27,94,100,7.78,overcast clouds,0,0
445,Victor Harbor,AU,-35.57,138.62,53.01,94,10,4.34,clear sky,0,0
446,Zima,RU,53.92,102.04,70.32,59,0,1.03,clear sky,0,0
447,Salalah,OM,17.02,54.09,80.6,94,90,3.36,drizzle,0,0
448,Okato,NZ,-39.2,173.88,54.0,93,97,1.01,overcast clouds,0,0
449,Los Llanos De Aridane,ES,28.66,-17.92,71.6,73,75,10.29,broken clouds,0,0
450,Camacha,PT,33.08,-16.33,68.0,77,40,11.41,scattered clouds,0,0
451,Maldonado,UY,-34.67,-54.92,48.99,65,0,10.29,clear sky,0,0
452,Adrar,MR,20.5,-10.07,92.84,31,71,10.6,broken clouds,0,0
453,Pilar,BR,-9.6,-35.96,73.4,88,75,1.12,broken clouds,0,0
454,San Carlos De Bariloche,AR,-41.15,-71.31,32.0,92,70,9.17,broken clouds,0,0
455,Shitanjing,CN,39.23,106.34,72.27,51,77,7.4,broken clouds,0,0
456,Batagay-Alyta,RU,67.8,130.41,76.96,46,40,5.17,scattered clouds,0,0
457,Kaitangata,NZ,-46.28,169.85,46.99,64,24,8.01,few clouds,0,0
458,Vitim,RU,59.45,112.56,71.89,71,100,5.59,overcast clouds,0,0
459,Porto Santo,PT,33.07,-16.34,68.0,77,40,11.41,scattered clouds,0,0
460,Lasa,IT,46.62,10.7,51.8,87,5,3.36,clear sky,0,0
